number,age,response_id,gender,fav_char,choice_dictation,Socialiser,Achiever,Explorer,Killer,platform,class,character_gender,Self.Monitoring,Nondisclosure.of.Imperfection,Nondisplay.of.Imperfection,Perfectionistic.Self.Promotion,Openness.To.Experience,Agreeableness,Conscienctiousness,Neuroticism,Extraversion
39,21 - 24,R_sMqyxQMOcAMw1QR,Male,Zenyatta,90,1,2,3,4,Playstation,Support,Male,12,3.285714286,2.3,2.8,4.142857143,3.714285714,4.1,2.875,3.333333333
40,18 - 20,R_C93iCBF0SPatopb,Male,Mei,92,1,2,4,3,PC,Defense,Female,15,3.714285714,5,3.5,3.285714286,3.857142857,3.6,4.125,1.666666667
41,21 - 24,R_schdixN0BkpEckV,Female,Mercy,80,2,1,3,4,PC,Support,Female,9,1.571428571,2.5,1.2,3,4.571428571,3.8,1.875,3.555555556
42,18 - 20,R_2tglzzNSSyFEfWk,Male,Winston,19,2,1,3,4,XBox,Tank,Male,12,3.428571429,3.8,3.5,3.142857143,3.714285714,4,1.125,2.777777778
43,21 - 24,R_1eFzQVZcTrndg0Q,Female,D. Va,0,2,1,4,3,XBox,Tank,Female,9,3.142857143,4.7,3.9,4.285714286,3.714285714,2.7,2.25,3
44,25 - 29,R_1CfLsj9s27kDyVf,Female,Lucio,78,3,1,4,2,PC,Support,Male,16,2.428571429,5.2,4.3,4.714285714,3.571428571,2.3,4,2.666666667
45,18 - 20,R_eA7xFW3Kivkkf3r,Male,Sombra,59,1,2,3,4,PC,Offense,Female,16,4,2.6,6.5,4.428571429,3.571428571,3.8,3.25,3
46,25 - 29,R_1IcqES1cQVCPYvT,Male,Pharah,65,2,1,4,3,Playstation,Offense,Female,14,4.285714286,5.6,4.9,4.571428571,3.714285714,3.5,3,3
47,25 - 29,R_si1zK7jeLoTpij7,Male,Reinhardt,34,2,1,4,3,PC,Tank,Male,9,2.857142857,3.6,3.5,2.714285714,3.142857143,4,2.75,2.111111111
48,35 - 39,R_2COI0CtltHrOYRq,Male,Roadhog,61,1,2,4,3,PC,Tank,Male,13,4.428571429,5.6,4.1,4.428571429,4.285714286,2.5,3.25,2.333333333
49,21 - 24,R_1He4bUFAwCkXJA1,Male,Lucio,70,3,1,2,4,PC,Support,Male,8,3.142857143,3.3,2,4.571428571,4.142857143,2.8,2,2.777777778
50,18 - 20,R_1E1b9v1mTcZKlSu,Male,Zarya,85,3,1,4,2,XBox,Tank,Female,10,3.285714286,4.6,3,4,3.142857143,3.6,1.25,2.555555556
51,21 - 24,R_Zh5bAT9kXe7rwxX,Female,Symmetra,39,4,2,1,3,PC,Support,Female,12,2.714285714,3.9,3,4.285714286,4.571428571,3.3,2.625,2.222222222
52,35 - 39,R_xxYWsHxwZLTTAf7,Male,Reinhardt,49,3,1,4,2,PC,Tank,Male,15,2.428571429,4.2,3.5,3,4,2.9,1.5,2.666666667
53,25 - 29,R_3J4aoT8jKYvIukx,Male,Soldier: 76,35,4,1,2,3,PC,Offense,Male,6,5,5.3,3.3,4.571428571,2.142857143,3.6,3.25,1.444444444
54,25 - 29,R_1owrJlQ7o3EsLnV,Female,Zarya,77,4,1,2,3,PC,Tank,Female,13,5.428571429,5.7,4.5,4,3.857142857,2.8,4.625,1.777777778
55,30 - 34,R_1eRm3bbzJfWj5RP,Male,Genji,28,3,1,4,2,PC,Offense,Male,13,5.142857143,6.8,5.5,3.285714286,3,2.6,3.25,3.333333333
56,18 - 20,R_1mqq8NId35m9VP7,Male,Reaper,84,3,1,4,2,PC,Offense,Male,7,3.714285714,2.3,2.3,3.571428571,4,3.7,3,1.555555556
57,18 - 20,R_3qX2KVB71WDoHti,Male,Tracer,0,1,2,3,4,PC,Offense,Female,12,1.857142857,1,1.6,4.142857143,3.571428571,4.3,1.5,4.111111111
58,21 - 24,R_2OUfeCHz32aRQVs,Male,Mercy,71,1,2,3,4,Playstation,Support,Female,14,3.428571429,5.2,4,4.714285714,4.428571429,1.9,4.125,2.666666667
59,25 - 29,R_Adj0vrkoWcJnBDP,Male,Doomfist,9,3,1,4,2,PC,Offense,Male,7,5,5.5,5.1,5,3.285714286,2.4,2.625,1.888888889
60,18 - 20,R_2VK2Zkll6GDvQHf,Male,Zarya,28,1,2,4,3,PC,Tank,Female,18,4.571428571,5.7,5.7,4.857142857,4.714285714,3.5,2.25,4.333333333
61,21 - 24,R_2CQiZD5w5ID4ko6,Male,Tracer,33,1,3,2,4,PC,Offense,Female,14,4.428571429,5,4,4,4.714285714,3.4,3.875,1.444444444
62,25 - 29,R_3KCS266WG3SOyMe,Male,Lucio,52,1,2,3,4,XBox,Support,Male,12,1.857142857,3.4,2.4,4.714285714,4.714285714,3.9,1.75,3.222222222
63,18 - 20,R_31gE8BuiN10PhEu,Male,Genji,78,4,1,3,2,XBox,Offense,Male,16,3.714285714,6.5,4.7,3.857142857,2.428571429,2.5,4.375,2.555555556
64,21 - 24,R_1Gyq34dtX80emuK,Female,Sombra,17,2,1,3,4,Playstation,Offense,Female,16,6.428571429,5.7,6.8,4.714285714,2.285714286,2.5,3,2.222222222
65,25 - 29,R_3IQTfBqUWjnM181,Male,McCree,35,3,1,4,2,XBox,Offense,Male,9,3.571428571,5.2,4.8,2.142857143,4.142857143,3.4,2,1.777777778
66,25 - 29,R_1gMx7n90nuvjkMg,Male,Reinhardt,60,3,1,4,2,PC,Tank,Male,12,3.857142857,3.7,3.6,4.428571429,3.428571429,2.8,2.75,2.333333333
67,18 - 20,R_2yrrfjxETqSFpOm,Female,Ana,39,1,2,3,4,PC,Support,Female,11,5.714285714,6.4,5.6,3,3.428571429,1.9,4.625,1.666666667
68,21 - 24,R_2ccoBH1dkeShHKF,Male,Reinhardt,100,2,1,4,3,PC,Tank,Male,11,3.285714286,4.2,3,3.285714286,3.428571429,3.1,3.875,1.666666667
69,18 - 20,R_1ps7uqOC7EoxMCY,Male,Mercy,100,3,2,1,4,XBox,Support,Female,19,3.285714286,1.3,1.8,2.857142857,3.428571429,2.7,1.375,3.333333333
70,21 - 24,R_sdPdHOWrlzeNK3D,Male,Reinhardt,50,2,1,3,4,Playstation,Tank,Male,15,2,3.2,3.6,4.142857143,4.571428571,3.5,1.125,3
71,21 - 24,R_T5bxAKatZHbfEgV,Female,Mei,90,1,2,3,4,PC,Defense,Female,15,3.714285714,7,7,3.571428571,4.571428571,2.7,4.625,2.555555556
72,21 - 24,R_um5HpCdf6rxo9tT,Male,Mei,75,3,1,2,4,Playstation,Defense,Female,17,3.857142857,3.8,3.4,2.571428571,4.142857143,4,2.5,2.555555556
73,25 - 29,R_To3WPSrPjzYolJT,Male,Mei,99,2,1,3,4,PC,Defense,Female,7,4.142857143,4.3,4.7,3.142857143,4.428571429,3.9,2.625,1.222222222
74,25 - 29,R_D8dywaMBVd1PABP,Male,Zarya,45,1,2,4,3,PC,Tank,Female,9,3,4.6,4,4.285714286,4.285714286,2.5,3.125,1.333333333
75,21 - 24,R_3iOOddynhCfBUt4,Male,Widowmaker,31,2,1,4,3,PC,Defense,Female,17,3.428571429,4.7,4.2,2.428571429,3.714285714,3.9,3,3.888888889
76,35 - 39,R_3smZUANO4BYGtzC,Male,Pharah,49,3,4,2,1,XBox,Offense,Female,20,4.428571429,6,5.5,4.571428571,2.857142857,2.4,1.25,3.888888889
77,30 - 34,R_2taM4yuMPGvCkgO,Female,Mei,29,3,1,4,2,XBox,Defense,Female,11,2.714285714,4.6,5.3,5,4.142857143,4.7,2.25,2.777777778
78,18 - 20,R_1LjaP8EmK2m4ABM,Female,Ana,19,1,2,4,3,PC,Support,Female,15,3.285714286,5.5,5.3,4.428571429,4.428571429,2.6,1.875,2.222222222
79,18 - 20,R_30wv1tpdIQ7lhYm,Male,Sombra,83,2,1,4,3,Playstation,Offense,Female,10,5.428571429,6.3,2.8,3.857142857,4.285714286,3.2,2.5,1.666666667
80,25 - 29,R_1pSYACyCiZrMoC6,Female,Mercy,39,2,1,3,4,Playstation,Support,Female,14,3.714285714,4.8,3.9,5,5,2.4,4,2.666666667
81,25 - 29,R_1OOnaln1PMxXioP,Male,Mei,85,2,1,4,3,Playstation,Defense,Female,2,3.714285714,3.5,2.8,3.428571429,4.714285714,2,2.375,3.222222222
82,21 - 24,R_PCDt4iRHDAiQ3VT,Male,Junkrat,0,2,1,3,4,PC,Defense,Male,15,2.571428571,1.9,2.1,4.428571429,3.714285714,2.6,1.125,2.666666667
83,35 - 39,R_1LqiQykVF7wN5Ne,Male,Junkrat,76,1,2,4,3,PC,Defense,Male,14,1.571428571,1.7,2.2,3.857142857,4.571428571,4.2,1.75,3.222222222
84,40 - 49,R_1Qor12Wre0ACsUm,Male,Junkrat,61,4,1,3,2,PC,Defense,Male,3,4.142857143,3.8,3.9,4,4.142857143,3.7,3.125,2.777777778
85,21 - 24,R_3I5b8KYZEPo7Gr8,Male,Zarya,70,1,2,4,3,PC,Tank,Female,8,3.714285714,4.9,4.2,3.428571429,3.857142857,3.9,2.25,1.777777778
86,21 - 24,R_1jfAsm2GgNaFpsS,Male,Reinhardt,30,2,1,4,3,PC,Tank,Male,14,4.428571429,5.5,5.9,3.428571429,3.571428571,2.8,3.875,2.777777778
87,21 - 24,R_Zb3sZJQuPwRoLdv,Male,Junkrat,93,1,2,4,3,PC,Defense,Male,14,1.714285714,3.5,1.4,4.428571429,4.714285714,3.1,2.375,3.222222222
88,21 - 24,R_22GqbOGc5DqsNF1,Male,D. Va,19,3,1,4,2,PC,Tank,Female,21,3.571428571,5.1,4.2,4.571428571,2.571428571,2.1,2.5,3.333333333
89,18 - 20,R_2dZv4cxnqfeyaHw,Female,Tracer,30,2,3,4,1,PC,Offense,Female,10,5.428571429,5.5,4.2,4.142857143,3.428571429,2.1,3.875,3
90,18 - 20,R_2yqnLem1lgFigFD,Male,Sombra,60,1,4,2,3,XBox,Offense,Female,9,3.285714286,3.5,3.3,3.857142857,4.571428571,4.4,2.25,3
91,21 - 24,R_1GOLc3AVOLc05cV,Male,Reinhardt,80,2,1,4,3,PC,Tank,Male,14,4,4.8,4,4.285714286,4.142857143,3,2.125,2.444444444
92,18 - 20,R_3hmCI2JIUPKrFMW,Male,Widowmaker,76,3,1,4,2,PC,Defense,Female,11,2,2.6,2.1,3.571428571,4.714285714,3.2,1.75,4.222222222
93,21 - 24,R_2mZqRuIIsE2Zn33,Male,Junkrat,42,2,1,4,3,XBox,Defense,Male,17,3.571428571,4.8,4.2,4,4.714285714,3.1,3.625,2.444444444
94,21 - 24,R_27m4EwWy4t4SerG,Female,Lucio,66,1,2,3,4,PC,Support,Male,9,4.428571429,4.3,3.2,4,4.714285714,3.1,2.875,3
95,30 - 34,R_2ZEvdfubnm7u0DM,Male,Reinhardt,84,1,3,4,2,PC,Tank,Male,12,5.714285714,6.4,4.6,1.571428571,3.428571429,2.9,3.375,2.555555556
96,25 - 29,R_3KE2ze13Jms1o4u,Male,Tracer,81,2,1,4,3,PC,Offense,Female,15,5.714285714,4.8,6.1,4.714285714,4.285714286,2.1,2.75,3.666666667
97,21 - 24,R_1DY9XYjpIBSc630,Male,Ana,14,2,1,4,3,PC,Support,Female,10,1.428571429,4.8,1.6,3,4.285714286,2.4,2.75,1.444444444
98,25 - 29,R_1KwBmoT6W1OaOEj,Male,Zarya,70,1,2,3,4,PC,Tank,Female,14,4,4.7,3.9,3.285714286,4.285714286,2.2,4.125,1.111111111
99,25 - 29,R_9pHfZgFKXnWmvct,Male,Mercy,91,1,2,4,3,Playstation,Support,Female,9,3.571428571,4.5,4,4,4,3.3,2.5,2.111111111
100,40 - 49,R_sImSy23Y3CtCsdr,Male,Reinhardt,47,4,1,3,2,PC,Tank,Male,18,4.285714286,4.6,4.1,3.714285714,3.571428571,2.6,3.375,2.555555556
101,30 - 34,R_1i3TTTKIso3ooBd,Male,Junkrat,43,1,3,2,4,Playstation,Defense,Male,14,3.285714286,4.5,2.8,5,3.714285714,2.8,2.875,3.222222222
102,25 - 29,R_1HiZWuV5cDRN1BD,Female,Symmetra,39,1,2,3,4,PC,Support,Female,9,2.571428571,3.1,3.6,3.571428571,4.142857143,3.4,2,2.111111111
103,18 - 20,R_1hy6glCUjAXj008,Male,Ana,90,3,1,4,2,PC,Support,Female,18,2.428571429,4.3,4.8,2.571428571,4.714285714,3.2,1.875,3.111111111
104,18 - 20,R_3fGKoYcDjSxxWwn,Male,Tracer,82,2,1,3,4,PC,Offense,Female,18,4.571428571,5.4,4.6,3.857142857,3.428571429,4.9,3.25,3.333333333
105,35 - 39,R_3kv9AZakv0edLQe,Male,Zenyatta,50,1,2,3,4,PC,Support,Male,12,2.285714286,2.6,1.9,4.142857143,4,4.5,1.125,3.777777778
106,21 - 24,R_3xWxGLNtNPxXTod,Male,Tracer,39,2,1,3,4,XBox,Offense,Female,13,3.428571429,4.6,3.2,4,3.714285714,3,2.25,3.333333333
107,25 - 29,R_3HLJCAFHCDnp59s,Male,Tracer,40,2,1,4,3,PC,Offense,Female,10,2.857142857,3.8,3.7,3.571428571,3.857142857,2.4,1.625,2.444444444
108,35 - 39,R_Ubx7zsI93ZoRRgB,Male,McCree,49,3,1,4,2,PC,Offense,Male,6,2.857142857,3.7,2.3,4.428571429,3.571428571,3.5,1.5,2.555555556
109,18 - 20,R_3nNQDkiLjeaXhl8,Male,Widowmaker,40,1,2,3,4,PC,Defense,Female,17,3.571428571,3.4,4,3.571428571,3.571428571,3.7,1.75,3.777777778
110,21 - 24,R_2c1m19Z8QTovg0J,Female,Mercy,84,2,1,3,4,PC,Support,Female,5,2.285714286,2.2,2.7,4.285714286,3.571428571,3.9,2.125,3.666666667
111,25 - 29,R_2V42jDwxZ4CbPhl,Male,Tracer,28,4,3,2,1,PC,Offense,Female,21,3,4.3,5.5,5,3.714285714,4.2,1.25,4.777777778
112,25 - 29,R_1ITxVKO3SBGXbNd,Male,Zenyatta,40,2,1,3,4,PC,Support,Male,17,3,4.5,3.1,3.571428571,3.142857143,1.7,2.75,3.666666667
113,25 - 29,R_3rTYaYHjQVkN69P,Male,Pharah,80,2,1,3,4,Playstation,Offense,Female,22,5.285714286,5.8,6.3,3.857142857,3.285714286,2.9,3.625,3.777777778
114,18 - 20,R_2zx6wHqQbHIvNQK,Male,Tracer,32,2,1,3,4,PC,Offense,Female,18,1.714285714,3.7,2.5,4.142857143,4.285714286,2.3,2.625,3.111111111
115,18 - 20,R_1gtnQRJ83LxmlOj,Male,Soldier: 76,21,4,3,2,1,Playstation,Offense,Male,12,4,4.7,3.4,3.285714286,4,3.4,3.125,3
116,25 - 29,R_WrpNdzKJFvET0DT,Female,Reaper,80,2,4,1,3,PC,Offense,Male,12,2.428571429,2.1,2.5,4.428571429,4.142857143,2.9,1.875,3.333333333
117,18 - 20,R_3O8krMF5WiyQF0N,Male,Junkrat,73,1,2,4,3,Playstation,Defense,Male,10,3.571428571,4.9,4,4.571428571,3,1.7,3.75,2.777777778
118,21 - 24,R_ssXglIedDNIj97P,Male,Sombra,49,1,4,3,2,PC,Offense,Female,11,4.857142857,6.3,5,4.571428571,4.285714286,2.2,4.625,2.666666667
119,30 - 34,R_1HpGg6Runha2tvO,Male,Sombra,76,1,3,2,4,PC,Offense,Female,16,2.714285714,3.2,2.6,4.428571429,4,3.1,2.875,3.555555556
120,21 - 24,R_2AM62tfc5qh6MKo,Male,Zenyatta,61,2,1,3,4,PC,Support,Male,16,4,5.3,3.5,4.285714286,4.571428571,3,1.5,2.333333333
121,18 - 20,R_3rP2raxiJ1GDv1T,Male,Zenyatta,0,3,1,4,2,PC,Support,Male,13,5.857142857,6.8,6.8,4.285714286,3.571428571,3.3,2.25,3.222222222
122,18 - 20,R_2QAilp9ItTSqnij,Male,Genji,47,2,1,3,4,PC,Offense,Male,15,3.428571429,4.2,3,3.857142857,4.571428571,3.7,1.625,3.444444444
123,21 - 24,R_1jBRVb9LansVK43,Male,Hanzo,18,3,2,4,1,PC,Defense,Male,18,3.571428571,4.2,4.5,3.285714286,4,2,2.875,2.444444444
124,25 - 29,R_1g5fL6oubEWuE7G,Male,Junkrat,100,2,1,4,3,XBox,Defense,Male,18,2,3.7,2.9,5,3.714285714,3.7,3,4.444444444
125,25 - 29,R_dnjKCSCLsSkuUCJ,Female,Lucio,60,2,1,3,4,PC,Support,Male,16,4,5.9,5,5,3.428571429,3.4,3.5,2.888888889
126,40 - 49,R_tGLgab08B3M7jup,Male,Pharah,42,1,2,3,4,Playstation,Offense,Female,19,4.571428571,5.8,5.4,4.285714286,3.857142857,2.7,2.875,2.888888889
127,30 - 34,R_2dLPEON45ehP0W1,Male,Symmetra,79,3,1,2,4,PC,Support,Female,13,5,5,5.4,3.428571429,2.428571429,2.5,3,2.666666667
128,18 - 20,R_2YPnYMIBvScBev1,Female,D. Va,39,2,1,4,3,PC,Tank,Female,13,2.142857143,4.4,2.6,3.714285714,3.571428571,2.9,2.625,1.888888889
129,18 - 20,R_oZSm9njnCA2i3G9,Male,Reaper,19,2,1,3,4,PC,Offense,Male,10,5.142857143,5.3,3.7,4.571428571,3.571428571,3.5,3.625,2.111111111
130,25 - 29,R_2xRW9uvaV9iYQWb,Male,Sombra,62,1,2,3,4,Playstation,Offense,Female,16,2.857142857,4.5,4.1,5,4.428571429,4.5,2.125,5
131,21 - 24,R_25AVDjJMVVUKQXu,Male,Widowmaker,12,3,2,4,1,PC,Defense,Female,12,4.428571429,4.6,3.6,2.857142857,4,4.3,2,2.333333333
132,21 - 24,R_Xqf8TvfdH19ecg1,Female,D. Va,79,3,1,2,4,PC,Tank,Female,13,5,5.3,5.2,5,4.571428571,3.1,3.625,3.777777778
133,18 - 20,R_2VrlDhnOn0aYr14,Male,Zarya,76,2,1,3,4,Playstation,Tank,Female,13,2,3.3,3.4,4.285714286,5,3.8,2.125,2.555555556
134,18 - 20,R_1E4NAnVwGk4kfAL,Male,Lucio,82,1,2,4,3,PC,Support,Male,14,1.857142857,5.5,2.8,4.142857143,4.285714286,2.7,1.625,3.111111111
135,18 - 20,R_3MbyG3Z4yoBWpQG,Male,Lucio,70,2,1,4,3,PC,Support,Male,9,3.571428571,4.8,4.1,3.571428571,4.142857143,2.2,3.75,1.666666667
136,18 - 20,R_3J8FMuberKQUrGT,Male,Junkrat,40,1,2,4,3,PC,Defense,Male,8,5.571428571,5.8,4.4,2.857142857,4.285714286,2.7,3.625,1.666666667
137,40 - 49,R_1pJOCNSinGtYhdP,Male,Soldier: 76,39,2,1,3,4,PC,Offense,Male,12,2.571428571,3.7,3.9,4.142857143,4.571428571,2.8,1.5,1.888888889
138,18 - 20,R_ptU7nfeaxLIY9ot,Male,Ana,82,2,1,4,3,PC,Support,Female,20,3.571428571,4,3.6,3.857142857,4.428571429,2.8,3.5,4
139,30 - 34,R_1QuctqikOVmkAaa,Male,Ana,97,2,1,4,3,PC,Support,Female,10,5.714285714,6.4,6.1,3.428571429,3.571428571,4.1,3.25,1.555555556
140,30 - 34,R_SWeZswh9rjq7t2p,Female,Junkrat,67,3,1,4,2,PC,Defense,Male,7,4.428571429,5.6,5,2.285714286,3.142857143,3.5,2.25,2.333333333
141,18 - 20,R_23WYoiB4pqpwZal,Male,Zenyatta,77,1,2,4,3,Playstation,Support,Male,10,4.285714286,4.6,3.8,4.857142857,4.714285714,4.3,1.5,2.777777778
142,30 - 34,R_3NIZ4QN80RPTcPD,Female,Mercy,80,1,2,4,3,XBox,Support,Female,16,1.142857143,3.2,2.3,4.571428571,5,3.6,1.875,4
143,25 - 29,R_1q4zBddxAdnB1RA,Male,Torbjorn,31,4,1,3,2,XBox,Defense,Male,19,1,1,1.4,4.714285714,4.714285714,3.7,1,4.444444444
144,25 - 29,R_2yqJHVqdmCsg1Wi,Male,Lucio,50,1,2,4,3,PC,Support,Male,NA,2.428571429,4.2,4,3.714285714,2.857142857,3,1.125,3.666666667
145,18 - 20,R_2AGMvj4jxq7yFxf,Female,Pharah,91,1,4,2,3,PC,Offense,Female,14,4.428571429,4.8,3.7,3.571428571,4,2.8,2.625,2.111111111
146,18 - 20,R_z0uviQ3xE45FgBj,Male,Reinhardt,30,1,2,3,4,PC,Tank,Male,10,3.714285714,2.3,2.3,4.285714286,4,2.6,1,1.333333333
147,25 - 29,R_2ATI9R9oGjxNqJ7,Male,Soldier: 76,69,2,1,3,4,XBox,Offense,Male,7,1.714285714,1.2,1.3,2.571428571,4.428571429,4.6,1.375,4.444444444
148,21 - 24,R_1Cx1iCtiK33n5WI,Male,Reaper,25,3,1,4,2,Playstation,Offense,Male,8,3.714285714,4.9,4,2.428571429,4.285714286,3.5,3.75,2.222222222
